issuer_name,filing_date,filing_year,filing_quarter,filing_month,fund_type,asset_class_group,federal_exemption,state_of_incorporation,total_offering_amount,amount_sold,pct_capital_raised,num_investors,investor_bucket,fund_size_bucket,quality_tier,is_duplicate,is_outlier_offering
"Hockey Parent Holdings, L.P.",2024-12-13,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,67330542.16,27614346.42,0.4101,5,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Pathway/AK Tactical Opportunities Fund, LP",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,432965768.34,345154664.08,0.7972,15,Mid (11-50),Large ($250M-$1B),Clean,0,0
MAGNETAR STRUCTURED CREDIT FUND LP,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,418867.59,409693.69,0.9781,11,Mid (11-50),Micro (<$1M),Clean,0,0
"RH-0705 Fund I, a series of Cerulean Capital, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,171363586.73,140512256.16,0.82,16,Mid (11-50),Mid ($50M-$250M),Clean,0,0
GROSVENOR FARIA FUND LP,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,2211083.46,1495393.19,0.6763,64,Large (51-200),Small ($1M-$10M),Clean,0,0
Benevity Enterprise Ltd,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),A1,18093354.9,4062028.55,0.2245,4,Small (1-10),Lower Mid ($10M-$50M),Minor Issues,1,0
Mapped Inc.,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1270925.57,930720.33,0.7323,7,Small (1-10),Small ($1M-$10M),Clean,0,0
Blue Owl Strategic Equity HoldCo (Offshore) LLC,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,419412.18,267857.26,0.6386,30,Mid (11-50),Micro (<$1M),Clean,0,0
KKR North America Fund XIV Private Investors (Onshore A) L.P.,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),A6,88233375.76,26967268.42,0.3056,2,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Mycor L/S Credit Offshore Fund, Ltd",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),E9,496353.56,285936.97,0.5761,4,Small (1-10),Micro (<$1M),Clean,0,0
Linqto Liquidshares LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,4019994.52,358738.12,0.0892,6,Small (1-10),Small ($1M-$10M),Minor Issues,1,0
Magnetar Systematic Multi-Strategy Fund LLC,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,746048.56,530960.66,0.7117,40,Mid (11-50),Micro (<$1M),Minor Issues,1,0
"Painted Rock Investment Partners II, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,3926179.56,290366.71,0.074,25,Mid (11-50),Small ($1M-$10M),Clean,0,0
Jughandle 2023 Self Storage LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,8074060.75,3223783.78,0.3993,18,Mid (11-50),Small ($1M-$10M),Clean,0,0
Klarna Group Holdco LTD,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),Y9,131726.22,36343.77,0.2759,2,Small (1-10),Micro (<$1M),Clean,0,0
"MyOutfit, Inc.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,13327536.94,3354622.74,0.2517,61,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
"BAMCAP-PR-0930 Fund I, a series of AngelList Funds 2024, LP",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,35156741.55,16622745.93,0.4728,7,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Project A Ventures V GmbH & Co. KG,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),2M,1558422.79,861698.7,0.5529,32,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Three Bridges Europe Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,33784667.35,7842654.15,0.2321,29,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Beacon Power Services, Corp.",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,3718746.94,2764332.82,0.7434,36,Mid (11-50),Small ($1M-$10M),Clean,0,0
VR 2024 TOWNHOMES LIMITED PARTNERSHIP,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1923801.51,279056.43,0.1451,20,Mid (11-50),Small ($1M-$10M),Clean,0,0
Scaleframe Inc.,2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,1476776.65,458795.81,0.3107,3,Small (1-10),Small ($1M-$10M),Clean,0,0
PRAIRIE SFR HOLDINGS LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),OK,133850.98,15638.24,0.1168,1,Small (1-10),Micro (<$1M),Clean,0,0
GKSP Co-Invest SCSp,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),N4,4194294.4,1672593.23,0.3988,63,Large (51-200),Small ($1M-$10M),Clean,0,0
"Contra Healthcare Solutions, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,100000.0,71645.23,0.7165,4,Small (1-10),Micro (<$1M),Clean,0,0
KKR North America Fund XIV SCSp,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),N4,3184727.12,177211.59,0.0556,13,Mid (11-50),Small ($1M-$10M),Clean,0,0
SPRUCE HOUSE PARTNERSHIP (AI) LP,2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,14443774.52,1082611.39,0.075,2,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
O2 Partners LLC,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),TX,11424434.97,3154527.18,0.2761,14,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"PCA Opportunities Fund 2022, L.P. - Series E (Energy Transition)",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,715021.99,202667.05,0.2834,7,Small (1-10),Micro (<$1M),Clean,0,0
Mountain Steel Capital LLC,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),WY,661953.45,324737.95,0.4906,28,Mid (11-50),Micro (<$1M),Clean,0,0
"PR-0909 Fund I, a series of Roll Up Vehicles, LP",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,552867.05,477718.58,0.8641,5,Small (1-10),Micro (<$1M),Clean,0,0
"Securitized Credit Opportunities Series, a series of MacKay Shields Series Fund LLC",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,110364351.77,35813936.37,0.3245,16,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Equitybee 22-40439, a Series of Equitybee cFund Master LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),DE,44724825.62,25752907.21,0.5758,4,Small (1-10),Lower Mid ($10M-$50M),Minor Issues,1,0
MAREN CAPITAL MAREN FUND LP,2024-12-13,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,27803038.81,4038671.92,0.1453,22,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"TenCore Partners Offshore, Ltd.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,3889313.06,1912966.1,0.4919,55,Large (51-200),Small ($1M-$10M),Clean,0,0
"TenCore Partners U.S., LP",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,12531209.95,9137555.7,0.7292,19,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
AEI NET LEASE PORTFOLIO 23 DST,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,324339.61,97907.78,0.3019,19,Mid (11-50),Micro (<$1M),Clean,0,0
AEI Healthcare Portfolio V DST,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,2856450.2,452446.14,0.1584,41,Mid (11-50),Small ($1M-$10M),Clean,0,0
Marflow Wind Crest LLC,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),TN,371835.26,215159.17,0.5786,1,Small (1-10),Micro (<$1M),Clean,0,0
JOUL 321 LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),TX,3590870.77,1342464.58,0.3739,87,Large (51-200),Small ($1M-$10M),Clean,0,0
"Harbert 6Beacon Fund, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,458663.65,46769.11,0.102,14,Mid (11-50),Micro (<$1M),Clean,0,0
KL SPECIAL OPPORTUNITIES FUND LTD,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,5239875.33,2049648.74,0.3912,72,Large (51-200),Small ($1M-$10M),Minor Issues,1,0
"503 Capital Partners Tax Exempt Credit Opportunities Fund IV, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,13998061.84,2897574.91,0.207,15,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Amplify Renewables Investments LP,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,914643.84,498807.46,0.5454,153,Large (51-200),Micro (<$1M),Minor Issues,1,0
"WV Capital Partners Series, LLC",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),PR,336826.24,39877.52,0.1184,1,Small (1-10),Micro (<$1M),Clean,0,0
SurgoCap Offshore Fund LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),E9,45727632.1,19258963.43,0.4212,6,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"U.S. Capital RIA Investors, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),TX,7091786.58,5841173.26,0.8237,103,Large (51-200),Small ($1M-$10M),Clean,0,0
"SAKAL CAPITAL INVESTMENTS, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),FL,238083.69,100049.37,0.4202,3,Small (1-10),Micro (<$1M),Minor Issues,1,0
Goldman Sachs Institutional Funds plc,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),L2,610753.62,98768.12,0.1617,20,Mid (11-50),Micro (<$1M),Clean,0,0
"Claren Road Credit Fund, Ltd.",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),E9,11658391.27,7048159.33,0.6046,16,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
PrimeStone Capital Fund LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,18104901.16,14800786.33,0.8175,92,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
Shelter Growth International Residential Mortgage Credit Fund LP,2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),E9,804869.76,72962.0,0.0907,15,Mid (11-50),Micro (<$1M),Clean,0,0
"Grosvenor FOB Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,7253518.46,4114123.43,0.5672,24,Mid (11-50),Small ($1M-$10M),Clean,0,0
Fox River Resources Corp,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),Z4,142606.87,43209.19,0.303,6,Small (1-10),Micro (<$1M),Clean,0,0
"VICUNA CAPITAL I, L.P.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,7013530.35,5311308.37,0.7573,89,Large (51-200),Small ($1M-$10M),Clean,0,0
"Domain Entertainment Friends & Family II, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,117177705.91,41104986.53,0.3508,16,Mid (11-50),Mid ($50M-$250M),Clean,0,0
SANTA MONICA PARTNERS LP,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),NY,28874612.65,14451757.7,0.5005,8,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"GSP 5.0 Fund-B, L.P.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,139987.61,21170.9,0.1512,17,Mid (11-50),Micro (<$1M),Clean,0,0
"iCapital Millennium USA Access Fund II, LP",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,2617650.48,242201.42,0.0925,19,Mid (11-50),Small ($1M-$10M),Clean,0,0
Spruce House Partnership (QP) LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,233416.56,154144.17,0.6604,20,Mid (11-50),Micro (<$1M),Clean,0,0
"Two Sigma Blazar Fund, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,241755.33,235118.94,0.9725,11,Mid (11-50),Micro (<$1M),Clean,0,0
Agventures III Climate Investment Fund LP,2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,1154492.89,196246.27,0.17,28,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Fitz Roy MC1, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,7795313.17,2967441.31,0.3807,6,Small (1-10),Small ($1M-$10M),Clean,0,0
"LionHedge Platform Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1765500.03,748766.68,0.4241,31,Mid (11-50),Small ($1M-$10M),Clean,0,0
Klarna Holding AB,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(c),V7,1077952.82,126435.43,0.1173,8,Small (1-10),Small ($1M-$10M),Clean,0,0
EquityZen Growth Technology Fund LLC - Series 2001,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,14155109.84,5119558.28,0.3617,8,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"SAKAL PRIVATE CAPITAL MANAGEMENT, LLC",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(c),FL,17712390.38,14850692.74,0.8384,32,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Hibiki Path Aoba Fund,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),E9,7811349.9,4333178.38,0.5547,8,Small (1-10),Small ($1M-$10M),Clean,0,0
"GCM Grosvenor Opportunistic Credit Fund, Ltd.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),E9,712727.68,635862.27,0.8922,33,Mid (11-50),Micro (<$1M),Clean,0,0
"RGM VALUE OPPORTUNITY FUND II, LP",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,643150.46,637809.73,0.9917,3,Small (1-10),Micro (<$1M),Clean,0,0
"Domain Entertainment Fund II, LP",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,174075.03,167491.97,0.9622,11,Mid (11-50),Micro (<$1M),Clean,0,0
"PHC Land Development Fund I, LLC",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,22843781.67,7604592.3,0.3329,34,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
RIG Mineral LLC,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),CO,382614.87,364062.9,0.9515,56,Large (51-200),Micro (<$1M),Clean,0,0
"Grosvenor Macro Strategies Fund, Ltd.",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),E9,114063812.11,108903177.21,0.9548,1,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Global Diversified Fund, Ltd.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,58848342.54,18375422.27,0.3123,14,Mid (11-50),Mid ($50M-$250M),Clean,0,0
Serengeti Multi-Series LLC - Series S,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,666295.54,195150.73,0.2929,341,Institutional (201-500),Micro (<$1M),Clean,0,0
INFRARED ENERGY TRANSITION FUND A LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),E9,41115775.12,24357195.88,0.5924,12,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"SFQOZF, LLC",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),SD,134790728.63,40826018.58,0.3029,18,Mid (11-50),Mid ($50M-$250M),Clean,0,0
Far UV Technologies Inc,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),MO,80428544.34,33232047.42,0.4132,29,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Morpheus Ventures III, L.P.",2024-12-13,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,263280.77,18998.95,0.0722,16,Mid (11-50),Micro (<$1M),Clean,0,0
KKR North America Fund XIV (GRI) SCSp,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),N4,101530913.18,29475821.1,0.2903,43,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Ares Real Estate Enhanced Income Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,1456924.35,656391.44,0.4505,21,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Mycor L/S Credit Onshore Fund, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,140945382.13,116615627.65,0.8274,177,Large (51-200),Mid ($50M-$250M),Clean,0,0
52 WILLIAM HOLDCO LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,61986324.66,43833662.97,0.7072,2,Small (1-10),Mid ($50M-$250M),Clean,0,0
Fidelity Credit Opportunities Fund II LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,491746.63,394856.64,0.803,15,Mid (11-50),Micro (<$1M),Clean,0,0
Floreo Capital LLC,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,220225.79,134665.35,0.6115,10,Small (1-10),Micro (<$1M),Clean,0,0
Orchestra Holdings LP,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,235135316.4,19632034.24,0.0835,50,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"GCM GROSVENOR SPECIAL OPPORTUNITIES FUND, L.P.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,74590702.66,58676865.77,0.7867,8,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Beacon Power Services, Corp.",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,17065501.96,9282475.74,0.5439,43,Mid (11-50),Lower Mid ($10M-$50M),Minor Issues,1,0
Asheville Three LLC,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),NC,25056704.67,10663868.38,0.4256,23,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
KKR North America Fund XIV Private Investors (Direct) L.P.,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),A6,27179382.55,1382255.83,0.0509,11,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Percussion Holdings LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,40779498.12,4562054.61,0.1119,191,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
"Rauch Capital Burst CIX, a series of Rauch Capital Burst, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,7307522.12,1198068.55,0.164,5,Small (1-10),Small ($1M-$10M),Clean,0,0
"AB Systematic Macro (Delaware) Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,211465480.58,33758740.71,0.1596,41,Mid (11-50),Mid ($50M-$250M),Clean,0,0
Next Deal Funding LLC,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),DE,16979217.3,2490638.2,0.1467,19,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Tabor Offshore Opportunities, Ltd",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),E9,914558018.84,764000532.09,0.8354,9,Small (1-10),Large ($250M-$1B),Clean,0,0
KHRONOS GROUP LLC - LIQUID OPPORTUNITIES FUND (US) SERIES,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,2317109.14,329503.38,0.1422,5,Small (1-10),Small ($1M-$10M),Clean,0,0
Brigade Credit Offshore Fund II Ltd.,2024-12-13,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),E9,34822788.76,7434369.66,0.2135,19,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
VR A 2024 TOWNHOMES LIMITED PARTNERSHIP,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,354985.37,139617.58,0.3933,24,Mid (11-50),Micro (<$1M),Clean,0,0
Cinnaire Mid-Atlantic Capital Fund 8 Limited Partnership,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,27819843.61,21272560.07,0.7647,12,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Magnetar Lake Credit Fund LLC,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,497023.93,242738.37,0.4884,5,Small (1-10),Micro (<$1M),Clean,0,0
"Tuned Care, Inc.",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,100000.0,97694.93,0.9769,22,Mid (11-50),Micro (<$1M),Clean,0,0
SDC Capital Income Fund LLC,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),CA,705999.34,491517.53,0.6962,2,Small (1-10),Micro (<$1M),Clean,0,0
BBWS Fund 1 LLC,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),TX,7048735.3,1908841.98,0.2708,11,Mid (11-50),Small ($1M-$10M),Clean,0,0
NORTHFIELD CAPITAL CORP,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),A6,50192166.76,47311614.71,0.9426,8,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Midwest Growth Partners IV, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),DE,38144119.36,30566382.28,0.8013,17,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Claren Road Credit Partners, LP",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,5596312.26,2674657.64,0.4779,65,Large (51-200),Small ($1M-$10M),Minor Issues,1,0
Magnetar Xing He Fund LLC,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,4381531.94,4030147.86,0.9198,67,Large (51-200),Small ($1M-$10M),Clean,0,0
"G2VP III, LP",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,1571374.31,1298641.61,0.8264,28,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Fundsmith Sustainable Equity Fund, L.P.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,3825263.18,1801684.9,0.471,90,Large (51-200),Small ($1M-$10M),Clean,0,0
"AE-1106 Fund I, a series of Riverside Ventures, LP",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1355577.84,1240236.17,0.9149,20,Mid (11-50),Small ($1M-$10M),Clean,0,0
Fidelity Credit Opportunities Feeder Fund II LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,3554763.76,2176004.34,0.6121,3,Small (1-10),Small ($1M-$10M),Clean,0,0
"FFL Parallel Fund VI, L.P.",2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,6391206.83,2460235.48,0.3849,1,Small (1-10),Small ($1M-$10M),Clean,0,0
Dominari Master SPV LLC Series XIV Anduril,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,3123246.12,2081846.39,0.6666,48,Mid (11-50),Small ($1M-$10M),Clean,0,0
FIVE CORNERS PARTNERS LP,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),CA,5000000000.0,4009934935.31,0.802,28,Mid (11-50),Mega (>$1B),Minor Issues,0,1
Klarna Group plc,2024-12-13,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(c),X0,48288409.07,24863727.91,0.5149,2,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
NQOCD Consulting Ltd,2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),X0,1995399.34,257342.91,0.129,35,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Beacon Power Services, Corp.",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,23897216.07,12200006.3,0.5105,3,Small (1-10),Lower Mid ($10M-$50M),Minor Issues,1,0
Pendleton Vista LLC,2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),OR,4263516.97,256467.64,0.0602,22,Mid (11-50),Small ($1M-$10M),Clean,0,0
"C-SCOF Seed Vehicle, L.P.",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),Y7,19824046.62,19362429.78,0.9767,4,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
GAM Systematic Core Macro (Cayman) Fund LP,2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),E9,30869981.98,11040943.9,0.3577,13,Mid (11-50),Lower Mid ($10M-$50M),Minor Issues,1,0
"GCM Grosvenor Spectrum Fund, Ltd.",2024-12-13,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),E9,16752744.57,8305696.19,0.4958,1,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"U.S. Capital RIA Financial Investors, LLC",2024-12-13,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,100000.0,31090.58,0.3109,26,Mid (11-50),Micro (<$1M),Clean,0,0
"Harrowing Film, LLC",2024-12-13,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),TX,800106.48,770587.48,0.9631,1,Small (1-10),Micro (<$1M),Clean,0,0
"TSW3 Co-Investment II, LLC",2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,2480224.91,687529.09,0.2772,8,Small (1-10),Small ($1M-$10M),Clean,0,0
RadMax Power LLC,2024-12-13,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),WA,34834228.74,26951209.93,0.7737,26,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
TCD 264 Digbeth Phase I Investment LP,2024-12-13,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,6837420.89,4419831.27,0.6464,2,Small (1-10),Small ($1M-$10M),Clean,0,0
"Warrant, Inc.",2024-12-13,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,3645612.91,556373.97,0.1526,71,Large (51-200),Small ($1M-$10M),Minor Issues,1,0
